trial_nr	onset	event_type	phase	response	nr_frames	movie_index	movie_duration	movie_file	blank	onset_abs	duration
0	0.12714505195617676	stim	0		80.0					99.7371780872345	0.6664600372314453
0	0.7760989665985107	response	0	space						100.38613200187683	
1	0.7936050891876221	stim	0		121.0					100.40363812446594	1.005950927734375
1	1.799556016921997	stim	1		120.0					101.40958905220032	1.0009031295776367
1	2.1923511028289795	response	1	space						101.8023841381073	
2	2.800459146499634	fix_pre	0		39.0	0.0	2.5	/experiments/knapen_aot/videos/R_S_ILSVRC2015_train_00318000.mp4	0.0	102.41049218177795	0.3240978717803955
2	3.116466999053955	response	0	space		0.0	2.5	/experiments/knapen_aot/videos/R_S_ILSVRC2015_train_00318000.mp4	0.0	102.72650003433228	
2	3.1245570182800293	movie	1		301.0	0.0	2.5	/experiments/knapen_aot/videos/R_S_ILSVRC2015_train_00318000.mp4	0.0	102.73459005355835	2.508358955383301
2	5.63291597366333	fix_post	2		12.0	0.0	2.5	/experiments/knapen_aot/videos/R_S_ILSVRC2015_train_00318000.mp4	0.0	105.24294900894165	0.09998917579650879
3	5.732905149459839	fix_pre	0		39.0	1.0	2.5	/experiments/knapen_aot/videos/R_S_yt-XY1n_Oze1kQ_9.mp4	0.0	105.34293818473816	0.32500600814819336
3	6.049839019775391	response	0	2		1.0	2.5	/experiments/knapen_aot/videos/R_S_yt-XY1n_Oze1kQ_9.mp4	0.0	105.65987205505371	
3	6.057911157608032	movie	1		301.0	1.0	2.5	/experiments/knapen_aot/videos/R_S_yt-XY1n_Oze1kQ_9.mp4	0.0	105.66794419288635	2.508347988128662
3	8.566259145736694	fix_post	2		12.0	1.0	2.5	/experiments/knapen_aot/videos/R_S_yt-XY1n_Oze1kQ_9.mp4	0.0	108.17629218101501	0.10020589828491211
4	8.666465044021606	fix_pre	0		13.0	2.0	2.5	/experiments/knapen_aot/videos/S_yt-SgiTZNjCPCo_19.mp4	0.0	108.27649807929993	0.10803794860839844
4	8.766347169876099	response	0	2		2.0	2.5	/experiments/knapen_aot/videos/S_yt-SgiTZNjCPCo_19.mp4	0.0	108.37638020515442	
4	8.774502992630005	movie	1		301.0	2.0	2.5	/experiments/knapen_aot/videos/S_yt-SgiTZNjCPCo_19.mp4	0.0	108.38453602790833	2.5083930492401123
4	11.282896041870117	fix_post	2		12.0	2.0	2.5	/experiments/knapen_aot/videos/S_yt-SgiTZNjCPCo_19.mp4	0.0	110.89292907714844	0.09991693496704102
5	11.382812976837158	fix_pre	0		9.0	3.0	2.5	/experiments/knapen_aot/videos/S_yt-HFiRYTnMZxE_338.mp4	0.0	110.99284601211548	0.07506299018859863
