trial_nr	onset	event_type	phase	response	nr_frames	movie_index	movie_duration	movie_file	blank	onset_abs	duration
0	0.14992213249206543	stim	0		102					21.90767812728882	0.8500308990478516
0	0.9918479919433594	response	0	space						22.749603986740112	
1	0.999953031539917	stim	0		43100					22.75770902633667	359.16494512557983
1	360.1577949523926	pulse	0	t						381.91555094718933	
1	360.16489815711975	stim	1		1717					381.9226541519165	14.308401823043823
1	361.75668811798096	pulse	1	t						383.5144441127777	
1	363.3566470146179	pulse	1	t						385.1144030094147	
1	364.95666694641113	pulse	1	t						386.7144229412079	
1	366.5566899776459	pulse	1	t						388.3144459724426	
1	368.15664196014404	pulse	1	t						389.9143979549408	
1	369.756716966629	pulse	1	t						391.5144729614258	
1	371.35674715042114	pulse	1	t						393.1145031452179	
1	372.95619106292725	pulse	1	t						394.713947057724	
2	374.4732999801636	fix_pre	0		11	0.0	2.5	/experiments/AOT/AOT_stimuli/rescaled_final/0514_fw.mp4	0.0	396.2310559749603	0.09168815612792969
2	374.5567989349365	pulse	0	t		0.0	2.5	/experiments/AOT/AOT_stimuli/rescaled_final/0514_fw.mp4	0.0	396.3145549297333	
2	374.5649881362915	movie	1		244	0.0	2.5	/experiments/AOT/AOT_stimuli/rescaled_final/0514_fw.mp4	0.0	396.32274413108826	2.508241891860962
2	376.15622115135193	pulse	1	t		0.0	2.5	/experiments/AOT/AOT_stimuli/rescaled_final/0514_fw.mp4	0.0	397.9139771461487	
2	377.07323002815247	fix_post	2		12	0.0	2.5	/experiments/AOT/AOT_stimuli/rescaled_final/0514_fw.mp4	0.0	398.8309860229492	0.09995007514953613
3	377.173180103302	fix_pre	0		120	1.0	2.5	/experiments/AOT/AOT_stimuli/rescaled_final/2147_rv.mp4	0.0	398.93093609809875	0.9999690055847168
3	377.75661993026733	pulse	0	t		1.0	2.5	/experiments/AOT/AOT_stimuli/rescaled_final/2147_rv.mp4	0.0	399.5143759250641	
3	378.1731491088867	movie	1		245	1.0	2.5	/experiments/AOT/AOT_stimuli/rescaled_final/2147_rv.mp4	0.0	399.9309051036835	2.500005006790161
3	379.3566200733185	pulse	1	t		1.0	2.5	/experiments/AOT/AOT_stimuli/rescaled_final/2147_rv.mp4	0.0	401.11437606811523	
3	380.6731541156769	fix_post	2		12	1.0	2.5	/experiments/AOT/AOT_stimuli/rescaled_final/2147_rv.mp4	0.0	402.43091011047363	0.09989404678344727
4	380.7730481624603	fix_pre	0		120	2.0	2.5	/experiments/AOT/AOT_stimuli/rescaled_final/0814_fw.mp4	0.0	402.5308041572571	1.000025987625122
4	380.95662212371826	pulse	0	t		2.0	2.5	/experiments/AOT/AOT_stimuli/rescaled_final/0814_fw.mp4	0.0	402.714378118515	
4	381.77307415008545	movie	1		243	2.0	2.5	/experiments/AOT/AOT_stimuli/rescaled_final/0814_fw.mp4	0.0	403.5308301448822	2.4996118545532227
4	382.556587934494	pulse	1	t		2.0	2.5	/experiments/AOT/AOT_stimuli/rescaled_final/0814_fw.mp4	0.0	404.31434392929077	
4	384.1551730632782	pulse	1	t		2.0	2.5	/experiments/AOT/AOT_stimuli/rescaled_final/0814_fw.mp4	0.0	405.91292905807495	
4	384.2726860046387	fix_post	2		12	2.0	2.5	/experiments/AOT/AOT_stimuli/rescaled_final/0814_fw.mp4	0.0	406.0304419994354	0.10035395622253418
5	384.3730399608612	fix_pre	0		120	3.0	2.5	/experiments/AOT/AOT_stimuli/rescaled_final/1278_rv.mp4	0.0	406.13079595565796	0.9999439716339111
5	385.3729839324951	movie	1		244	3.0	2.5	/experiments/AOT/AOT_stimuli/rescaled_final/1278_rv.mp4	0.0	407.13073992729187	2.5000381469726562
5	385.7561950683594	pulse	1	t		3.0	2.5	/experiments/AOT/AOT_stimuli/rescaled_final/1278_rv.mp4	0.0	407.5139510631561	
5	387.3564820289612	pulse	1	t		3.0	2.5	/experiments/AOT/AOT_stimuli/rescaled_final/1278_rv.mp4	0.0	409.11423802375793	
