trial_nr	onset	event_type	phase	response	nr_frames	movie_index	movie_duration	movie_file	blank	onset_abs	duration
0	0.15812945365905762	stim	0		24					18.086708068847656	0.19996190071105957
0	0.350017786026001	response	0	space						18.2785964012146	
1	0.3580913543701172	stim	0		4830					18.286669969558716	40.25892758369446
1	40.606993198394775	pulse	0	t						58.535571813583374	
1	40.617018938064575	stim	1		1715					58.545597553253174	14.307642459869385
1	42.20632028579712	pulse	1	t						60.13489890098572	
1	43.806729555130005	pulse	1	t						61.7353081703186	
1	45.406755208969116	pulse	1	t						63.335333824157715	
1	47.00699710845947	pulse	1	t						64.93557572364807	
1	48.60722303390503	pulse	1	t						66.53580164909363	
1	50.207680225372314	pulse	1	t						68.13625884056091	
1	51.8077597618103	pulse	1	t						69.7363383769989	
1	53.40796875953674	pulse	1	t						71.33654737472534	
2	54.92466139793396	fix_pre	0		11	0.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0391_rv.mp4	0.0	72.85324001312256	0.10835838317871094
2	55.00813603401184	pulse	0	t		0.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0391_rv.mp4	0.0	72.93671464920044	
2	55.03301978111267	movie	1		287	0.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0391_rv.mp4	0.0	72.96159839630127	2.4920356273651123
2	56.606931924819946	pulse	1	t		0.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0391_rv.mp4	0.0	74.53551054000854	
2	57.52505540847778	fix_post	2		12	0.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0391_rv.mp4	0.0	75.45363402366638	0.1000058650970459
3	57.62506127357483	fix_pre	0		120	1.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1942_rv.mp4	0.0	75.55363988876343	1.0084867477416992
3	58.20867919921875	pulse	0	t		1.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1942_rv.mp4	0.0	76.13725781440735	
3	58.63354802131653	movie	1		277	1.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1942_rv.mp4	0.0	76.56212663650513	2.4920456409454346
3	59.80678200721741	pulse	1	t		1.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1942_rv.mp4	0.0	77.735360622406	
3	61.12559366226196	fix_post	2		12	1.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1942_rv.mp4	0.0	79.05417227745056	0.10001564025878906
4	61.22560930252075	fix_pre	0		120	2.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1830_fw.mp4	0.0	79.15418791770935	1.008624792098999
4	61.40916180610657	pulse	0	t		2.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1830_fw.mp4	0.0	79.33774042129517	
4	62.23423409461975	movie	1		286	2.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1830_fw.mp4	0.0	80.16281270980835	2.4918880462646484
4	63.00738716125488	pulse	1	t		2.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1830_fw.mp4	0.0	80.93596577644348	
4	64.60776376724243	pulse	1	t		2.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1830_fw.mp4	0.0	82.53634238243103	
4	64.7261221408844	fix_post	2		12	2.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1830_fw.mp4	0.0	82.654700756073	0.10002541542053223
5	64.82614755630493	fix_pre	0		120	3.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1787_fw.mp4	0.0	82.75472617149353	1.0085391998291016
5	65.83468675613403	movie	1		280	3.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1787_fw.mp4	0.0	83.76326537132263	2.492043972015381
5	66.20815896987915	pulse	1	t		3.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1787_fw.mp4	0.0	84.13673758506775	
5	67.80801463127136	pulse	1	t		3.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1787_fw.mp4	0.0	85.73659324645996	
5	68.32673072814941	fix_post	2		12	3.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1787_fw.mp4	0.0	86.25530934333801	0.10000824928283691
6	68.42673897743225	fix_pre	0		119	4.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1096_rv.mp4	0.0	86.35531759262085	1.0002295970916748
6	69.41037034988403	pulse	0	t		4.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1096_rv.mp4	0.0	87.33894896507263	
6	69.42696857452393	movie	1		277	4.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1096_rv.mp4	0.0	87.35554718971252	2.5002996921539307
6	71.00895190238953	pulse	1	t		4.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1096_rv.mp4	0.0	88.93753051757812	
6	71.92726826667786	fix_post	2		12	4.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1096_rv.mp4	0.0	89.85584688186646	0.09995365142822266
