trial_nr	onset	event_type	phase	response	nr_frames	movie_index	movie_duration	movie_file	blank	onset_abs	duration
0	0.14153313636779785	stim	0		17					29.589287519454956	0.1416623592376709
0	0.2751178741455078	response	0	space						29.722872257232666	
1	0.28319549560546875	stim	0		4529					29.730949878692627	37.7486047744751
1	38.0223593711853	pulse	0	t						67.47011375427246	
1	38.031800270080566	stim	1		1715					67.47955465316772	14.30083417892456
1	39.62250804901123	pulse	1	t						69.07026243209839	
1	41.22274446487427	pulse	1	t						70.67049884796143	
1	42.822994232177734	pulse	1	t						72.27074861526489	
1	44.42320394515991	pulse	1	t						73.87095832824707	
1	46.023436546325684	pulse	1	t						75.47119092941284	
1	47.62374305725098	pulse	1	t						77.07149744033813	
1	49.22394299507141	pulse	1	t						78.67169737815857	
1	50.82420086860657	pulse	1	t						80.27195525169373	
2	52.33263444900513	fix_pre	0		12	0.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1292_rv.mp4	0.0	81.78038883209229	0.10837745666503906
2	52.42445135116577	pulse	0	t		0.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1292_rv.mp4	0.0	81.87220573425293	
2	52.441011905670166	movie	1		300	0.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1292_rv.mp4	0.0	81.88876628875732	2.5003502368927
2	54.02084803581238	pulse	1	t		0.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1292_rv.mp4	0.0	83.46860241889954	
2	54.941362142562866	fix_post	2		12	0.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1292_rv.mp4	0.0	84.38911652565002	0.10001802444458008
3	55.041380167007446	fix_pre	0		120	1.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/2134_fw.mp4	0.0	84.4891345500946	1.0001411437988281
3	55.62492847442627	pulse	0	t		1.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/2134_fw.mp4	0.0	85.07268285751343	
3	56.041521310806274	movie	1		300	1.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/2134_fw.mp4	0.0	85.48927569389343	2.500399351119995
3	57.22077965736389	pulse	1	t		1.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/2134_fw.mp4	0.0	86.66853404045105	
3	58.54192066192627	fix_post	2		12	1.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/2134_fw.mp4	0.0	87.98967504501343	0.10003471374511719
4	58.64195537567139	fix_pre	0		120	2.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0949_rv.mp4	0.0	88.08970975875854	1.0001335144042969
4	58.82539415359497	pulse	0	t		2.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0949_rv.mp4	0.0	88.27314853668213	
4	59.642088890075684	movie	1		300	2.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0949_rv.mp4	0.0	89.08984327316284	2.500378131866455
4	60.42131066322327	pulse	1	t		2.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0949_rv.mp4	0.0	89.86906504631042	
4	62.02168083190918	pulse	1	t		2.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0949_rv.mp4	0.0	91.46943521499634	
4	62.14246702194214	fix_post	2		12	2.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0949_rv.mp4	0.0	91.5902214050293	0.10002875328063965
5	62.24249577522278	fix_pre	0		120	3.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1220_rv.mp4	0.0	91.69025015830994	1.0000958442687988
5	63.24259161949158	movie	1		300	3.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1220_rv.mp4	0.0	92.69034600257874	2.500424861907959
5	63.622419357299805	pulse	1	t		3.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1220_rv.mp4	0.0	93.07017374038696	
5	65.2220287322998	pulse	1	t		3.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1220_rv.mp4	0.0	94.66978311538696	
5	65.74301648139954	fix_post	2		12	3.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1220_rv.mp4	0.0	95.1907708644867	0.09999847412109375
6	65.84301495552063	fix_pre	0		119	4.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1874_rv.mp4	0.0	95.29076933860779	0.9921834468841553
6	66.82664442062378	pulse	0	t		4.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1874_rv.mp4	0.0	96.27439880371094	
6	66.83519840240479	movie	1		301	4.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1874_rv.mp4	0.0	96.28295278549194	2.5083601474761963
6	68.42314434051514	pulse	1	t		4.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1874_rv.mp4	0.0	97.8708987236023	
6	69.34355854988098	fix_post	2		12	4.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1874_rv.mp4	0.0	98.79131293296814	0.09998822212219238
7	69.44354677200317	fix_pre	0		120	5.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1411_rv.mp4	0.0	98.89130115509033	1.0001814365386963
7	70.02713751792908	pulse	0	t		5.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1411_rv.mp4	0.0	99.47489190101624	
7	70.44372820854187	movie	1		300	5.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1411_rv.mp4	0.0	99.89148259162903	2.5003533363342285
7	71.62325239181519	pulse	1	t		5.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1411_rv.mp4	0.0	101.07100677490234	
7	72.9440815448761	fix_post	2		12	5.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1411_rv.mp4	0.0	102.39183592796326	0.10002493858337402
8	73.04410648345947	fix_pre	0		120	6.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0931_fw.mp4	0.0	102.49186086654663	1.0001254081726074
8	73.21948409080505	pulse	0	t		6.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0931_fw.mp4	0.0	102.66723847389221	
8	74.04423189163208	movie	1		300	6.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0931_fw.mp4	0.0	103.49198627471924	2.5003750324249268
8	74.81948661804199	pulse	1	t		6.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0931_fw.mp4	0.0	104.26724100112915	
8	76.41973996162415	pulse	1	t		6.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0931_fw.mp4	0.0	105.8674943447113	
8	76.544606924057	fix_post	2		12	6.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/0931_fw.mp4	0.0	105.99236130714417	0.10001230239868164
9	76.64461922645569	fix_pre	0		120	7.0	2.5	blank	1.0	106.09237360954285	1.0001559257507324
9	77.64477515220642	movie	1		299	7.0	2.5	blank	1.0	107.09252953529358	2.4920597076416016
9	78.01998233795166	pulse	1	t		7.0	2.5	blank	1.0	107.46773672103882	
9	79.62022042274475	pulse	1	t		7.0	2.5	blank	1.0	109.06797480583191	
9	80.13683485984802	fix_post	2		12	7.0	2.5	blank	1.0	109.58458924293518	0.09999823570251465
10	80.23683309555054	fix_pre	0		119	8.0	2.5	/experiments/Knapen_AOT/AOT_stimuli/rescaled_final/1959_rv.mp4	0.0	109.6845874786377	1.0001797676086426
