trial_nr	onset	event_type	phase	response	nr_frames	movie_index	movie_duration	movie_file	blank	onset_abs	duration
0	0.15833711624145508	stim	0		791					26.60690999031067	6.591523885726929
0	6.7344160079956055	response	0	space						33.18298888206482	
1	6.749861001968384	stim	0		4311					33.1984338760376	35.933287143707275
1	42.671651124954224	pulse	0	t						69.12022399902344	
1	42.68314814567566	stim	1		1716					69.13172101974487	14.299832820892334
1	44.266494035720825	pulse	1	t						70.71506690979004	
1	45.866554975509644	pulse	1	t						72.31512784957886	
1	47.466521978378296	pulse	1	t						73.91509485244751	
1	49.066508054733276	pulse	1	t						75.51508092880249	
1	50.666528940200806	pulse	1	t						77.11510181427002	
1	52.26659607887268	pulse	1	t						78.7151689529419	
1	53.866477966308594	pulse	1	t						80.31505084037781	
1	55.46648097038269	pulse	1	t						81.9150538444519	
2	56.98298096656799	fix_pre	0		11	0.0	2.5	/experiments/aot/R_S_yt-zh2yLr-o_8A_953.mp4	0.0	83.4315538406372	0.09162020683288574
2	57.06652808189392	pulse	0	t		0.0	2.5	/experiments/aot/R_S_yt-zh2yLr-o_8A_953.mp4	0.0	83.51510095596313	
2	57.07460117340088	movie	1		300	0.0	2.5	/experiments/aot/R_S_yt-zh2yLr-o_8A_953.mp4	0.0	83.52317404747009	2.5082919597625732
2	58.66246008872986	pulse	1	t		0.0	2.5	/experiments/aot/R_S_yt-zh2yLr-o_8A_953.mp4	0.0	85.11103296279907	
2	59.58289313316345	fix_post	2		12	0.0	2.5	/experiments/aot/R_S_yt-zh2yLr-o_8A_953.mp4	0.0	86.03146600723267	0.10013103485107422
3	59.683024168014526	fix_pre	0		120	1.0	2.5	/experiments/aot/S_yt-pO5SVq-9EhU_114.mp4	0.0	86.13159704208374	0.9999299049377441
3	60.266534090042114	pulse	0	t		1.0	2.5	/experiments/aot/S_yt-pO5SVq-9EhU_114.mp4	0.0	86.71510696411133	
3	60.68295407295227	movie	1		299	1.0	2.5	/experiments/aot/S_yt-pO5SVq-9EhU_114.mp4	0.0	87.13152694702148	2.500025987625122
3	61.86651110649109	pulse	1	t		1.0	2.5	/experiments/aot/S_yt-pO5SVq-9EhU_114.mp4	0.0	88.3150839805603	
3	63.18298006057739	fix_post	2		12	1.0	2.5	/experiments/aot/S_yt-pO5SVq-9EhU_114.mp4	0.0	89.6315529346466	0.09992790222167969
4	63.28290796279907	fix_pre	0		120	2.0	2.5	/experiments/aot/R_S_yt-3E02UEHdoZ4_752.mp4	0.0	89.73148083686829	1.0000050067901611
4	63.46646308898926	pulse	0	t		2.0	2.5	/experiments/aot/R_S_yt-3E02UEHdoZ4_752.mp4	0.0	89.91503596305847	
4	64.28291296958923	movie	1		300	2.0	2.5	/experiments/aot/R_S_yt-3E02UEHdoZ4_752.mp4	0.0	90.73148584365845	2.500025987625122
4	65.06647205352783	pulse	1	t		2.0	2.5	/experiments/aot/R_S_yt-3E02UEHdoZ4_752.mp4	0.0	91.51504492759705	
4	66.66650295257568	pulse	1	t		2.0	2.5	/experiments/aot/R_S_yt-3E02UEHdoZ4_752.mp4	0.0	93.1150758266449	
4	66.78293895721436	fix_post	2		12	2.0	2.5	/experiments/aot/R_S_yt-3E02UEHdoZ4_752.mp4	0.0	93.23151183128357	0.10005903244018555
5	66.88299798965454	fix_pre	0		120	3.0	2.5	/experiments/aot/S_pexels-laker-5793000.mp4	0.0	93.33157086372375	0.999906063079834
5	67.88290405273438	movie	1		159	3.0	2.5	/experiments/aot/S_pexels-laker-5793000.mp4	0.0	94.33147692680359	2.5000760555267334
5	68.26656103134155	pulse	1	t		3.0	2.5	/experiments/aot/S_pexels-laker-5793000.mp4	0.0	94.71513390541077	
5	69.86652302742004	pulse	1	t		3.0	2.5	/experiments/aot/S_pexels-laker-5793000.mp4	0.0	96.31509590148926	
5	70.38298010826111	fix_post	2		12	3.0	2.5	/experiments/aot/S_pexels-laker-5793000.mp4	0.0	96.83155298233032	0.1001439094543457
6	70.48312401771545	fix_pre	0		119	4.0	2.5	/experiments/aot/S_pexels-vlada-karpovich-8044792.mp4	0.0	96.93169689178467	0.9915499687194824
6	71.46649312973022	pulse	0	t		4.0	2.5	/experiments/aot/S_pexels-vlada-karpovich-8044792.mp4	0.0	97.91506600379944	
6	71.47467398643494	movie	1		162	4.0	2.5	/experiments/aot/S_pexels-vlada-karpovich-8044792.mp4	0.0	97.92324686050415	2.508358955383301
6	73.06706309318542	pulse	1	t		4.0	2.5	/experiments/aot/S_pexels-vlada-karpovich-8044792.mp4	0.0	99.51563596725464	
6	73.98303294181824	fix_post	2		12	4.0	2.5	/experiments/aot/S_pexels-vlada-karpovich-8044792.mp4	0.0	100.43160581588745	0.09982609748840332
7	74.08285903930664	fix_pre	0		120	5.0	2.5	blank	1.0	100.53143191337585	1.000082015991211
7	74.66645812988281	pulse	0	t		5.0	2.5	blank	1.0	101.11503100395203	
7	75.08294105529785	movie	1		300	5.0	2.5	blank	1.0	101.53151392936707	2.4999139308929443
7	76.2664589881897	pulse	1	t		5.0	2.5	blank	1.0	102.71503186225891	
7	77.5828549861908	fix_post	2		12	5.0	2.5	blank	1.0	104.03142786026001	0.10005617141723633
