trial_nr	onset	event_type	phase	response	nr_frames	picture_index	picture_file	onset_abs	duration
0	0.04169145799824037	stim	0		2124			18.807645541994134	20.52806133300328
0	20.55224729100155	response	0	space				39.31820137499744	
2	20.56975279100152	picture	0		320	0.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-uSHBdUi8_V0_24.png	39.33570687499741	2.6864620839987765
2	23.24225899999874	response	0	j		0.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-uSHBdUi8_V0_24.png	42.00821308399463	
3	23.256214875000296	picture	0		531	1.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-WhQMF3WM0Ig_29.png	42.02216895899619	4.667928583003231
3	27.91686154100171	response	0	j		1.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-WhQMF3WM0Ig_29.png	46.6828156249976	
4	27.924143458003527	picture	0		236	2.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_ILnEDG_aP1A_35.png	46.69009754199942	1.9736304999969434
4	29.887501333003456	response	0	j		2.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_ILnEDG_aP1A_35.png	48.65345541699935	
5	29.89777395800047	picture	0		153	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_b5-3.png	48.663728041996364	1.3200491669995245
5	31.207454625000537	response	0	j		3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_b5-3.png	49.97340870899643	
6	31.217823124999995	picture	0		132	4.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_production_ID_3944248.png	49.98377720899589	1.1079425830030232
6	32.31592437499785	response	0	j		4.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_production_ID_3944248.png	51.08187845899374	
7	32.32576570800302	picture	0		114	5.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n01630670_121.JPEG	51.09171979199891	0.9486801249950076
7	33.262984749999305	response	0	k		5.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n01630670_121.JPEG	52.0289388339952	
8	33.274445832998026	picture	0		115	6.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_pexels-laker-5793000.png	52.04039991699392	0.9586413750002976
8	34.22063925000111	response	0	j		6.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_pexels-laker-5793000.png	52.98659333399701	
9	34.233087207998324	picture	0		121	7.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_ILSVRC2015_train_00369000.png	52.99904129199422	1.0207722500053933
9	35.2416072499982	response	0	j		7.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_ILSVRC2015_train_00369000.png	54.00756133399409	
10	35.25385945800372	picture	0		285	8.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_ILSVRC2015_train_00415001.png	54.01981354199961	2.5233381250000093
10	37.76599654099846	response	0	k		8.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_ILSVRC2015_train_00415001.png	56.53195062499435	
11	37.777197583003726	picture	0		115	9.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n04613696_11624.JPEG	56.54315166699962	0.9677428329960094
11	38.73578108299989	response	0	k		9.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n04613696_11624.JPEG	57.501735166995786	
12	38.744940415999736	picture	0		111	10.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n02859443_21872.JPEG	57.51089449999563	0.9271829170029378
12	39.662088249999215	response	0	k		10.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n02859443_21872.JPEG	58.42804233399511	
13	39.67212333300267	picture	0		95	11.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n07714990_3116.JPEG	58.43807741699857	0.8092421670007752
13	40.46944704100315	response	0	k		11.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n07714990_3116.JPEG	59.23540112499904	
14	40.48136550000345	picture	0		103	12.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n01882714_3551.JPEG	59.24731958399934	0.8579332909939694
14	41.32642816600128	response	0	k		12.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n01882714_3551.JPEG	60.09238224999717	
15	41.33929879099742	picture	0		109	13.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-nB2WgvYt7bA_170.png	60.10525287499331	0.9159458340000128
15	42.244848333000846	response	0	k		13.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-nB2WgvYt7bA_170.png	61.01080241699674	
16	42.25524462499743	picture	0		219	14.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-RO4mhuXBVrY_67.png	61.021198708993325	1.8922756250030943
16	44.13732237499789	response	0	j		14.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-RO4mhuXBVrY_67.png	62.90327645899379	
17	44.147520250000525	picture	0		172	15.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-6xXEMHBQ08A_28.png	62.91347433399642	1.5072560830012662
17	45.64407008299895	response	0	k		15.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-6xXEMHBQ08A_28.png	64.41002416699484	
18	45.65477633300179	picture	0		107	16.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n13044778_706.JPEG	64.42073041699769	0.9047708750003949
18	46.54879920800158	response	0	k		16.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n13044778_706.JPEG	65.31475329199748	
19	46.559547208002186	picture	0		97	17.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_Pexels_Videos_278654_1.png	65.32550129199808	0.8133681249964866
19	47.35952079100389	response	0	j		17.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_Pexels_Videos_278654_1.png	66.12547487499978	
20	47.37291533299867	picture	0		106	18.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n04443257_5252.JPEG	66.13886941699457	0.9417567499986035
20	48.304092457998195	response	0	k		18.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n04443257_5252.JPEG	67.07004654199409	
21	48.31467208299728	picture	0		92	19.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_production_ID_4325591.png	67.08062616699317	0.7780829580005957
21	49.081919000003836	response	0	j		19.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_production_ID_4325591.png	67.84787308399973	
22	49.09275504099787	picture	0		132	20.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-j3Sk8ZnAiEA_32.png	67.85870912499377	1.1316896670032293
22	50.2155500000008	response	0	j		20.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-j3Sk8ZnAiEA_32.png	68.9815040839967	
23	50.2244447080011	picture	0		106	21.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n02077923_6737.JPEG	68.990398791997	0.8933630000028643
23	51.10718166600418	response	0	k		21.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n02077923_6737.JPEG	69.87313575000007	
24	51.117807708003966	picture	0		99	22.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-VfASxEzDrvc_145.png	69.88376179199986	0.8580660419975175
24	51.95877816600114	response	0	j		22.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-VfASxEzDrvc_145.png	70.72473224999703	
25	51.97587375000148	picture	0		93	23.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n04350905_11239.JPEG	70.74182783399738	0.8134892910020426
25	52.779417249999824	response	0	k		23.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n04350905_11239.JPEG	71.54537133399572	
26	52.789363041003526	picture	0		91	24.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n04081281_2467.JPEG	71.55531712499942	0.8494724999982282
26	53.62577541600331	response	0	k		24.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n04081281_2467.JPEG	72.3917294999992	
27	53.638835541001754	picture	0		93	25.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n04044716_20454.JPEG	72.40478962499765	0.779092374999891
27	54.40727200000401	response	0	k		25.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n04044716_20454.JPEG	73.17322608399991	
28	54.417927916001645	picture	0		173	26.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-cu4AVz6o2eg_24.png	73.18388199999754	1.5200679170011426
28	55.92581029100256	response	0	k		26.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-cu4AVz6o2eg_24.png	74.69176437499846	
29	55.93799583300279	picture	0		109	27.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_bing-www_dailymotion_com_video_x4kcklg_53.png	74.70394991699868	0.9112752079963684
29	56.83994870800234	response	0	j		27.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_bing-www_dailymotion_com_video_x4kcklg_53.png	75.60590279199823	
30	56.849271040999156	picture	0		100	28.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-kYMffy4hTMo_107.png	75.61522512499505	0.8438450419998844
30	57.683322666001914	response	0	j		28.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-kYMffy4hTMo_107.png	76.44927674999781	
31	57.69311608299904	picture	0		157	29.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-S6N5FyjSFZE_4.png	76.45907016699493	1.4773594580037752
31	59.15801099999953	response	0	j		29.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-S6N5FyjSFZE_4.png	77.92396508399543	
32	59.170475541002816	picture	0		189	30.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n02687172_773.JPEG	77.93642962499871	1.643554292000772
32	60.80367875000229	response	0	k		30.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n02687172_773.JPEG	79.56963283399818	
33	60.81402983300359	picture	0		99	31.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-kYMffy4hTMo_107.png	79.57998391699948	0.9109847079962492
33	61.717943249997916	response	0	j		31.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-kYMffy4hTMo_107.png	80.48389733399381	
34	61.72501454099984	picture	0		112	32.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_b3TCugtX0h0_108.png	80.49096862499573	0.9383661669999128
34	62.65285900000163	response	0	k		32.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_b3TCugtX0h0_108.png	81.41881308399752	
35	62.66338070799975	picture	0		131	33.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-AbJBxqEYoMg_27.png	81.42933479199564	1.1413353750031092
35	63.79221216600126	response	0	j		33.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-AbJBxqEYoMg_27.png	82.55816624999716	
36	63.80471608300286	picture	0		114	34.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n01795545_14217.JPEG	82.57067016699875	0.9503914999950211
36	64.74218462499994	response	0	k		34.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n01795545_14217.JPEG	83.50813870899583	
37	64.75510758299788	picture	0		111	35.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-hZxbKZ1WCVg_24.png	83.52106166699377	0.9334473330018227
37	65.67782599999919	response	0	j		35.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-hZxbKZ1WCVg_24.png	84.44378008399508	
38	65.6885549159997	picture	0		150	36.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-wEbfIR14zZ8_7.png	84.4545089999956	1.25496545900387
38	66.9335102499972	response	0	k		36.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-wEbfIR14zZ8_7.png	85.69946433399309	
39	66.94352037500357	picture	0		94	37.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_ILSVRC2015_train_00417000.png	85.70947445899947	0.8036552499979734
39	67.73664587500389	response	0	j		37.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_ILSVRC2015_train_00417000.png	86.50259995899978	
40	67.74717562500155	picture	0		88	38.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n04149813_4677.JPEG	86.51312970899744	0.7365042500023264
40	68.4718172080029	response	0	k		38.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n04149813_4677.JPEG	87.2377712919988	
41	68.48367987500387	picture	0		96	39.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n04606251_6163.JPEG	87.24963395899977	0.7961400409985799
41	69.26954316600313	response	0	k		39.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n04606251_6163.JPEG	88.03549724999903	
42	69.27981991600245	picture	0		105	40.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_pexels-cottonbro-5310858.png	88.04577399999835	0.8717026250014897
42	70.13833400000294	response	0	j		40.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_pexels-cottonbro-5310858.png	88.90428808399884	
43	70.15152254100394	picture	0		120	41.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n02749479_3074.JPEG	88.91747662499984	1.0027031669960706
43	71.14501862500038	response	0	k		41.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n02749479_3074.JPEG	89.91097270899627	
44	71.15422570800001	picture	0		161	42.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n03933933_11785.JPEG	89.9201797919959	1.3471010830035084
44	72.4898493330038	response	0	k		42.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n03933933_11785.JPEG	91.2558034169997	
45	72.50132679100352	picture	0		226	43.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_comp_L007_C007_PS_v01_SDR_PS_20180925_SDR_2K_AVC.png	91.26728087499941	1.9038172090004082
45	74.39453345799848	response	0	j		43.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_comp_L007_C007_PS_v01_SDR_PS_20180925_SDR_2K_AVC.png	93.16048754199437	
46	74.40514400000393	picture	0		100	44.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-lfDIg8kaXhA_169.png	93.17109808399982	0.8418082499993034
46	75.23622295800305	response	0	j		44.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-lfDIg8kaXhA_169.png	94.00217704199895	
47	75.24695225000323	picture	0		108	45.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-isJga8ec5UM_32.png	94.01290633399913	0.9072973329966771
47	76.1390162500029	response	0	j		45.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-isJga8ec5UM_32.png	94.90497033399879	
48	76.15424958299991	picture	0		87	46.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n09288635_24719.JPEG	94.9202036669958	0.8135311669975636
48	76.95768491600029	response	0	k		46.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n09288635_24719.JPEG	95.72363899999618	
49	76.96778074999747	picture	0		187	47.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-3E02UEHdoZ4_752.png	95.73373483399337	1.611443750000035
49	78.56981516600354	response	0	k		47.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-3E02UEHdoZ4_752.png	97.33576924999943	
50	78.57922449999751	picture	0		76	48.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_ILSVRC2015_train_00165009.png	97.3451785839934	0.6422471660043811
50	79.21149370800413	response	0	j		48.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_ILSVRC2015_train_00165009.png	97.97744779200002	
51	79.22147166600189	picture	0		112	49.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-iiGwN9FQrZo_1.png	97.98742574999778	0.9429655839994666
51	80.15412012500019	response	0	k		49.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-iiGwN9FQrZo_1.png	98.92007420899608	
