,0
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n02018207_13538.JPEG,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_ILSVRC2015_train_00507000.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n02835271_1055.JPEG,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-158C6xUMi5Y_75.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/ILSVRC2012_test_00015382.JPEG,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_production_ID_4510883.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n02814533_65056.JPEG,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_ILSVRC2015_train_00463000.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n07684084_9211.JPEG,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n03788195_7789.JPEG,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-jzDaQD-g168_103.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-1RVw8p6Dw2Q_20.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-qOPJfTB1klY_1.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-0Zze3Ff12Ys_58.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n02641379_2270.JPEG,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-EAMpitsjbbA_153.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_production_ID_4325509.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-roThCERxVCs_133.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-Y32yFYRmNVU_22.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-cEvK2aS5ehU_8.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n01744401_7320.JPEG,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n02422699_37511.JPEG,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n02641379_27089.JPEG,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-JkKOG9Fxykc_94.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-fGN7sGPy8BA_13.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_production_ID_5020953.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_comp_H004_C009_PS_v01_SDR_PS_20180925_SDR_2K_AVC.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_m-aeoYPMqfg_185.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n03095699_13211.JPEG,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-0xzYSBvVfYM_197.png,j
