,0
/home/egter/Projects/stimuli/pictures/n09288635_4175.JPEG,k
/home/egter/Projects/stimuli/pictures/n01728920_7410.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt-uSHBdUi8_V0_24.png,j
/home/egter/Projects/stimuli/pictures/n11939491_51261.JPEG,k
/home/egter/Projects/stimuli/pictures/n03529860_2779.JPEG,k
/home/egter/Projects/stimuli/pictures/R_S_ILSVRC2015_train_00595000.png,j
/home/egter/Projects/stimuli/pictures/S_yt-oASqBTM-5fw_73.png,j
/home/egter/Projects/stimuli/pictures/R_S_wc-DgBY_btLlgBC_19.png,j
/home/egter/Projects/stimuli/pictures/R_S_yt-tX3slAQb9yY_13.png,j
/home/egter/Projects/stimuli/pictures/S_yt_R-3UiB_5en3gg_145.png,k
/home/egter/Projects/stimuli/pictures/R_S_Y005_C003_SDR_2K_AVC.png,k
/home/egter/Projects/stimuli/pictures/S_pexels-c-technical-6754008.png,j
/home/egter/Projects/stimuli/pictures/S_yt-fTlJIM1TtOw_28.png,k
/home/egter/Projects/stimuli/pictures/n01630670_8298.JPEG,k
/home/egter/Projects/stimuli/pictures/R_S_ILSVRC2015_train_00538000.png,j
/home/egter/Projects/stimuli/pictures/S_Pz_NXxhQCJc_70.png,j
/home/egter/Projects/stimuli/pictures/R_S_OdxWh1oU8e8_1.png,j
/home/egter/Projects/stimuli/pictures/n02790996_7989.JPEG,k
/home/egter/Projects/stimuli/pictures/R_S_video_inspire_california_big-sur_2020_00001.png,k
/home/egter/Projects/stimuli/pictures/n02268853_2189.JPEG,k
/home/egter/Projects/stimuli/pictures/n04467665_83611.JPEG,k
/home/egter/Projects/stimuli/pictures/n01748264_17810.JPEG,k
/home/egter/Projects/stimuli/pictures/S_flickr-lamujuri-10653517683_4.png,j
/home/egter/Projects/stimuli/pictures/n09193705_49708.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt--DXkjCUzThU_413.png,j
/home/egter/Projects/stimuli/pictures/n04443257_5252.JPEG,k
/home/egter/Projects/stimuli/pictures/R_S_yt-8N5UuN5WQcY_72.png,j
/home/egter/Projects/stimuli/pictures/S_yt-tX3slAQb9yY_13.png,j
/home/egter/Projects/stimuli/pictures/S_yt-RVoC19C420Y_27.png,j
/home/egter/Projects/stimuli/pictures/n02951358_20960.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt-7bSTxOajpjc_58.png,j
/home/egter/Projects/stimuli/pictures/S_BO_A014_C023_SDR_20190717_F240F3709_SDR_2K_AVC.png,j
/home/egter/Projects/stimuli/pictures/n03478589_16903.JPEG,k
/home/egter/Projects/stimuli/pictures/n02165456_15231.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt-YOLaQ53ooks_195.png,j
/home/egter/Projects/stimuli/pictures/S_bing-www_yahoo_com_entertainment_anastasia-karanikolaou-chantel-jeffries-discuss-182400502_html_9.png,j
/home/egter/Projects/stimuli/pictures/ILSVRC2012_test_00088583.JPEG,k
/home/egter/Projects/stimuli/pictures/n09332890_2002.JPEG,k
/home/egter/Projects/stimuli/pictures/R_S_yt-Tt_LkR4iAt4_11.png,j
/home/egter/Projects/stimuli/pictures/S_yt-452RKqKIeRU_16.png,j
/home/egter/Projects/stimuli/pictures/S_yt-s73Xqkcq9Js_285.png,j
/home/egter/Projects/stimuli/pictures/S_production_ID_5182928.png,j
/home/egter/Projects/stimuli/pictures/S_yt-hZxbKZ1WCVg_24.png,k
/home/egter/Projects/stimuli/pictures/n02111277_3754.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt-DWsFRl5bXs8_23.png,j
/home/egter/Projects/stimuli/pictures/n01692333_12376.JPEG,k
/home/egter/Projects/stimuli/pictures/R_S_wc-lItGMdwvEd_l_7.png,j
/home/egter/Projects/stimuli/pictures/R_S_yt-t-wpKypNysg_27.png,j
/home/egter/Projects/stimuli/pictures/R_S_yt-2ftSsLqRQnA_84.png,j
/home/egter/Projects/stimuli/pictures/n04418357_9604.JPEG,k
/home/egter/Projects/stimuli/pictures/n02165105_5484.JPEG,k
/home/egter/Projects/stimuli/pictures/n02058221_6048.JPEG,k
/home/egter/Projects/stimuli/pictures/R_S_yt-pOCEuqVE7ro_61.png,k
/home/egter/Projects/stimuli/pictures/n01748264_9809.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt-bhiGMKSAz2g_370.png,k
/home/egter/Projects/stimuli/pictures/ILSVRC2012_val_00018369.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt-HQQws1Lp_rQ_10.png,j
/home/egter/Projects/stimuli/pictures/S_video_inspire_uk_edinburgh_arthursseat_010.png,k
/home/egter/Projects/stimuli/pictures/n02974003_106.JPEG,k
/home/egter/Projects/stimuli/pictures/R_S_yt-ObT9gF8E_tU_250.png,j
/home/egter/Projects/stimuli/pictures/n07590611_20876.JPEG,k
/home/egter/Projects/stimuli/pictures/S_yt-Dlk44AGz-xM_37.png,j
/home/egter/Projects/stimuli/pictures/S_yt-7Z6Kmp0n7L8_145.png,j
