trial_nr	onset	event_type	phase	response	nr_frames	picture_index	picture_file	onset_abs	duration
0	0.014946937561035156	stim	0		861.0			33.137197971343994	7.179175853729248
0	0.005009889602661133	response	0	j				33.12726092338562	
0	7.177536964416504	response	0	space				40.29978799819946	
2	7.194122791290283	picture	0		151.0	0.0	/home/egter/Projects/stimuli/pictures/S_yt-oM9oaz2ytSY_140.png	40.31637382507324	1.2646410465240479
2	8.44485092163086	response	0	k		0.0	/home/egter/Projects/stimuli/pictures/S_yt-oM9oaz2ytSY_140.png	41.56710195541382	
3	8.458763837814331	picture	0		284.0	1.0	/home/egter/Projects/stimuli/pictures/S_yt-xrPrnzvWUkY_7.png	41.58101487159729	2.3749001026153564
3	10.819880962371826	response	0	j		1.0	/home/egter/Projects/stimuli/pictures/S_yt-xrPrnzvWUkY_7.png	43.942131996154785	
4	10.833663940429688	picture	0		93.0	2.0	/home/egter/Projects/stimuli/pictures/R_S_ILSVRC2015_train_00001011.png	43.95591497421265	0.7777578830718994
4	11.6024489402771	response	0	j		2.0	/home/egter/Projects/stimuli/pictures/R_S_ILSVRC2015_train_00001011.png	44.72469997406006	
5	11.611421823501587	picture	0		113.0	3.0	/home/egter/Projects/stimuli/pictures/S_yt-bD1U6bo-6bE_465.png	44.733672857284546	0.9444010257720947
5	12.544225931167603	response	0	j		3.0	/home/egter/Projects/stimuli/pictures/S_yt-bD1U6bo-6bE_465.png	45.66647696495056	
6	12.555822849273682	picture	0		151.0	4.0	/home/egter/Projects/stimuli/pictures/S_yt-2lnxIdOTxog_157.png	45.67807388305664	1.256932020187378
6	13.802470922470093	response	0	j		4.0	/home/egter/Projects/stimuli/pictures/S_yt-2lnxIdOTxog_157.png	46.92472195625305	
7	13.81275486946106	picture	0		82.0	5.0	/home/egter/Projects/stimuli/pictures/S_ILSVRC2015_train_00418007.png	46.93500590324402	0.6812939643859863
7	14.479039907455444	response	0	j		5.0	/home/egter/Projects/stimuli/pictures/S_ILSVRC2015_train_00418007.png	47.6012909412384	
8	14.494048833847046	picture	0		122.0	6.0	/home/egter/Projects/stimuli/pictures/S_yt-EcOYbXulEpI_139.png	47.616299867630005	1.0201420783996582
8	15.495685815811157	response	0	k		6.0	/home/egter/Projects/stimuli/pictures/S_yt-EcOYbXulEpI_139.png	48.617936849594116	
9	15.514190912246704	picture	0		107.0	7.0	/home/egter/Projects/stimuli/pictures/S_yt-Co4dzHwupRM_18.png	48.63644194602966	0.8889200687408447
9	16.3941969871521	response	0	k		7.0	/home/egter/Projects/stimuli/pictures/S_yt-Co4dzHwupRM_18.png	49.51644802093506	
10	16.40311098098755	picture	0		98.0	8.0	/home/egter/Projects/stimuli/pictures/R_S_yt-GWlwb2QsxIA_48.png	49.52536201477051	0.8193168640136719
10	17.210858821868896	response	0	j		8.0	/home/egter/Projects/stimuli/pictures/R_S_yt-GWlwb2QsxIA_48.png	50.333109855651855	
11	17.22242784500122	picture	0		198.0	9.0	/home/egter/Projects/stimuli/pictures/n04465501_4400.JPEG	50.34467887878418	1.655045986175537
11	18.861469984054565	response	0	k		9.0	/home/egter/Projects/stimuli/pictures/n04465501_4400.JPEG	51.983721017837524	
12	18.877473831176758	picture	0		86.0	10.0	/home/egter/Projects/stimuli/pictures/n04515003_5632.JPEG	51.99972486495972	0.7199549674987793
12	19.585903882980347	response	0	k		10.0	/home/egter/Projects/stimuli/pictures/n04515003_5632.JPEG	52.708154916763306	
