,0
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2168_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0040_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1237_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0827_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0150_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0583_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0716_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1591_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0173_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1846_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2016_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0297_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1293_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0409_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0165_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1296_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0822_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1315_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1273_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1686_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1587_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0950_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2022_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1502_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1598_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0259_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1665_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1988_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1284_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1253_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1054_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0601_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0622_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0687_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1731_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1252_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0821_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1179_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1058_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1094_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0026_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1946_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1112_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1877_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0872_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1379_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1095_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0969_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1918_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2144_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0615_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0989_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0923_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1842_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2028_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0764_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1290_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0755_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0558_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1940_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1002_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1356_fw.png,j
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1762_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0914_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0296_fw.png,k
/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1743_fw.png,k
