trial_nr	onset	event_type	phase	response	nr_frames	picture_index	picture_file	onset_abs	duration
0	0.14996099472045898	stim	0		614			109.4706358909607	5.141274929046631
0	5.266395092010498	response	0	space				114.58706998825073	
2	5.29123592376709	picture	0		268	0.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1146_fw.png	114.61191082000732	2.2333149909973145
2	7.516377925872803	response	0	k		0.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1146_fw.png	116.83705282211304	
3	7.524550914764404	picture	0		107	1.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1031_fw.png	116.84522581100464	0.8952500820159912
3	8.401246070861816	response	0	k		1.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1031_fw.png	117.72192096710205	
4	8.419800996780396	picture	0		138	2.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1428_fw.png	117.74047589302063	1.1527609825134277
4	9.558774948120117	response	0	j		2.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1428_fw.png	118.87944984436035	
5	9.572561979293823	picture	0		98	3.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1636_fw.png	118.89323687553406	0.8194139003753662
5	10.376314878463745	response	0	k		3.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1636_fw.png	119.69698977470398	
6	10.39197587966919	picture	0		103	4.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1515_fw.png	119.71265077590942	0.8611550331115723
6	11.241291046142578	response	0	j		4.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1515_fw.png	120.56196594238281	
7	11.253130912780762	picture	0		150	5.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0290_fw.png	120.573805809021	1.2499699592590332
7	12.491298913955688	response	0	k		5.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0290_fw.png	121.81197381019592	
8	12.503100872039795	picture	0		118	6.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0405_fw.png	121.82377576828003	0.9797830581665039
8	13.474646091461182	response	0	j		6.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0405_fw.png	122.79532098770142	
9	13.482883930206299	picture	0		128	7.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1439_fw.png	122.80355882644653	1.0688180923461914
9	14.541279077529907	response	0	j		7.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1439_fw.png	123.86195397377014	
10	14.55170202255249	picture	0		99	8.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1055_fw.png	123.87237691879272	0.8263418674468994
10	15.366262912750244	response	0	j		8.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1055_fw.png	124.68693780899048	
11	15.37804388999939	picture	0		112	9.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0782_fw.png	124.69871878623962	0.9305989742279053
11	16.299604892730713	response	0	j		9.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0782_fw.png	125.62027978897095	
12	16.308642864227295	picture	0		94	10.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1381_fw.png	125.62931776046753	0.7847239971160889
12	17.08299207687378	response	0	j		10.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1381_fw.png	126.40366697311401	
13	17.093366861343384	picture	0		108	11.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2076_fw.png	126.41404175758362	0.9027721881866455
13	17.976930856704712	response	0	j		11.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2076_fw.png	127.29760575294495	
14	17.99613904953003	picture	0		171	12.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2169_fw.png	127.31681394577026	1.430588960647583
14	19.40955901145935	response	0	k		12.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2169_fw.png	128.73023390769958	
15	19.426728010177612	picture	0		121	13.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0900_fw.png	128.74740290641785	1.0144920349121094
15	20.424617052078247	response	0	k		13.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0900_fw.png	129.74529194831848	
16	20.44122004508972	picture	0		102	14.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1088_fw.png	129.76189494132996	0.8534328937530518
16	21.282922983169556	response	0	k		14.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1088_fw.png	130.6035978794098	
17	21.294652938842773	picture	0		123	15.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1675_fw.png	130.615327835083	1.0278170108795166
17	22.308640956878662	response	0	k		15.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1675_fw.png	131.6293158531189	
18	22.32246994972229	picture	0		199	16.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2179_fw.png	131.64314484596252	1.6667110919952393
18	23.975244998931885	response	0	k		16.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2179_fw.png	133.29591989517212	
19	23.98918104171753	picture	0		116	17.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1603_fw.png	133.30985593795776	0.9721050262451172
19	24.949620008468628	response	0	j		17.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1603_fw.png	134.27029490470886	
20	24.961286067962646	picture	0		95	18.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0171_fw.png	134.28196096420288	0.7917230129241943
20	25.741257905960083	response	0	j		18.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0171_fw.png	135.06193280220032	
21	25.75300908088684	picture	0		92	19.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0605_fw.png	135.07368397712708	0.7798078060150146
21	26.51722002029419	response	0	j		19.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0605_fw.png	135.83789491653442	
22	26.532816886901855	picture	0		262	20.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1768_fw.png	135.8534917831421	2.1854350566864014
22	28.707927942276	response	0	k		20.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1768_fw.png	138.02860283851624	
23	28.718251943588257	picture	0		107	21.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1229_fw.png	138.0389268398285	0.898076057434082
23	29.59275507926941	response	0	j		21.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1229_fw.png	138.91342997550964	
24	29.61632800102234	picture	0		146	22.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1777_fw.png	138.93700289726257	1.2199320793151855
24	30.8177649974823	response	0	j		22.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1777_fw.png	140.13843989372253	
25	30.836260080337524	picture	0		96	23.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1413_fw.png	140.15693497657776	0.7986049652099609
25	31.62456703186035	response	0	j		23.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1413_fw.png	140.9452419281006	
26	31.634865045547485	picture	0		103	24.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1691_fw.png	140.95553994178772	0.8611109256744385
26	32.482917070388794	response	0	j		24.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1691_fw.png	141.80359196662903	
27	32.495975971221924	picture	0		122	25.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1797_fw.png	141.81665086746216	1.0207860469818115
27	33.507890939712524	response	0	k		25.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1797_fw.png	142.82856583595276	
28	33.516762018203735	picture	0		468	26.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0912_fw.png	142.83743691444397	3.9027390480041504
28	37.401071071624756	response	0	j		26.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0912_fw.png	146.721745967865	
29	37.419501066207886	picture	0		113	27.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0420_fw.png	146.74017596244812	0.9445078372955322
29	38.35024309158325	response	0	k		27.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0420_fw.png	147.6709179878235	
30	38.36400890350342	picture	0		211	28.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2003_fw.png	147.68468379974365	1.763822078704834
30	40.11620306968689	response	0	j		28.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2003_fw.png	149.43687796592712	
31	40.12783098220825	picture	0		122	29.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2059_fw.png	149.4485058784485	1.0300099849700928
31	41.14178705215454	response	0	k		29.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2059_fw.png	150.46246194839478	
32	41.157840967178345	picture	0		109	30.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0382_fw.png	150.47851586341858	0.9144411087036133
32	42.05850386619568	response	0	k		30.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0382_fw.png	151.3791787624359	
33	42.07228207588196	picture	0		142	31.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0364_fw.png	151.3929569721222	1.1874709129333496
33	43.249496936798096	response	0	k		31.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0364_fw.png	152.57017183303833	
34	43.25975298881531	picture	0		133	32.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2149_fw.png	152.58042788505554	1.1111299991607666
34	44.3578999042511	response	0	k		32.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/2149_fw.png	153.67857480049133	
35	44.370882987976074	picture	0		124	33.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0257_fw.png	153.6915578842163	1.0417239665985107
35	45.393325090408325	response	0	k		33.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0257_fw.png	154.71399998664856	
36	45.412606954574585	picture	0		162	34.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1481_fw.png	154.73328185081482	1.354053020477295
36	46.75793504714966	response	0	k		34.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1481_fw.png	156.0786099433899	
37	46.76665997505188	picture	0		99	35.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0737_fw.png	156.08733487129211	0.8263640403747559
37	47.58282804489136	response	0	k		35.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0737_fw.png	156.9035029411316	
38	47.593024015426636	picture	0		117	36.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0433_fw.png	156.91369891166687	0.9792170524597168
38	48.55839991569519	response	0	j		36.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/0433_fw.png	157.87907481193542	
39	48.57224106788635	picture	0		111	37.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1337_fw.png	157.8929159641266	0.9305188655853271
39	49.491108894348145	response	0	k		37.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1337_fw.png	158.81178379058838	
40	49.50275993347168	picture	0		80	38.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1021_fw.png	158.8234348297119	0.6666469573974609
40	50.15780806541443	response	0	j		38.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1021_fw.png	159.47848296165466	
41	50.16940689086914	picture	0		130	39.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1492_fw.png	159.49008178710938	1.0902881622314453
41	51.24940299987793	response	0	j		39.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1492_fw.png	160.57007789611816	
42	51.259695053100586	picture	0		105	40.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1517_fw.png	160.58036994934082	0.8749539852142334
42	52.12450289726257	response	0	k		40.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1517_fw.png	161.4451777935028	
43	52.13464903831482	picture	0		95	41.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1467_fw.png	161.45532393455505	0.79168701171875
43	52.91613698005676	response	0	j		41.0	/experiments/knapen_aot/AOT/AOT_stimuli/pictures/1467_fw.png	162.236811876297	
