,0
/experiments/knapen_AOT/AOT_stimuli/pictures/0838_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/0004_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/1820_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/0169_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/0765_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/1473_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/0939_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/1896_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/1585_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/1494_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/1337_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/1181_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/2124_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/1106_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/0993_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/1099_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/0311_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/1831_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/1013_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/2046_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/1680_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/1528_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/1125_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/1471_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/0969_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/0186_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/1036_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/0432_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/0192_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/2015_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/0569_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/1162_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/0076_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/0025_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/0958_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/2110_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/1632_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/0544_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/1851_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/0060_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/2166_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/1938_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/2127_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/1911_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/0116_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/0443_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/0531_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/1169_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/0984_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/0752_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/0761_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/0071_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/0295_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/1032_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/1643_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/1003_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/0538_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/1895_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/0757_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/0283_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/0532_fw.png,j
/experiments/knapen_AOT/AOT_stimuli/pictures/0288_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/2071_fw.png,k
/experiments/knapen_AOT/AOT_stimuli/pictures/1922_fw.png,k
