trial_nr	onset	event_type	phase	response	nr_frames	picture_index	picture_file	onset_abs	duration
0	0.1935882568359375	stim	0		527			62.25713229179382	4.409711599349976
0	4.58357834815979	response	0	space				66.64712238311768	
2	4.603299856185913	picture	0		253	0.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0525_fw.png	66.6668438911438	2.1252987384796143
2	6.70880913734436	response	0	k		0.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0525_fw.png	68.77235317230225	
3	6.728598594665527	picture	0		114	1.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0802_fw.png	68.79214262962341	0.9581296443939209
3	7.6751298904418945	response	0	k		1.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0802_fw.png	69.73867392539978	
4	7.686728239059448	picture	0		92	2.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1043_fw.png	69.75027227401733	0.7638704776763916
4	8.441805839538574	response	0	j		2.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1043_fw.png	70.50534987449646	
5	8.45059871673584	picture	0		118	3.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0219_fw.png	70.51414275169373	0.9861631393432617
5	9.425312280654907	response	0	k		3.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0219_fw.png	71.4888563156128	
6	9.436761856079102	picture	0		126	4.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/2153_fw.png	71.50030589103699	1.04868745803833
6	10.475146055221558	response	0	k		4.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/2153_fw.png	72.53869009017944	
7	10.485449314117432	picture	0		156	5.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0843_fw.png	72.54899334907532	1.3061738014221191
7	11.775141477584839	response	0	k		5.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0843_fw.png	73.83868551254272	
8	11.79162311553955	picture	0		131	6.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0576_fw.png	73.85516715049744	1.0965206623077393
8	12.875192642211914	response	0	k		6.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0576_fw.png	74.9387366771698	
9	12.88814377784729	picture	0		100	7.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1123_fw.png	74.95168781280518	0.8402905464172363
9	13.709243297576904	response	0	k		7.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1123_fw.png	75.77278733253479	
10	13.728434324264526	picture	0		110	8.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1349_fw.png	75.79197835922241	0.9215652942657471
10	14.633516550064087	response	0	j		8.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1349_fw.png	76.69706058502197	
11	14.649999618530273	picture	0		105	9.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1086_fw.png	76.71354365348816	0.8833539485931396
11	15.517024278640747	response	0	j		9.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1086_fw.png	77.58056831359863	
12	15.533353567123413	picture	0		109	10.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1620_fw.png	77.5968976020813	0.9104094505310059
12	16.433647394180298	response	0	k		10.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1620_fw.png	78.49719142913818	
13	16.44376301765442	picture	0		101	11.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1935_fw.png	78.5073070526123	0.847923994064331
13	17.27527141571045	response	0	j		11.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1935_fw.png	79.33881545066833	
14	17.29168701171875	picture	0		129	12.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1176_fw.png	79.35523104667664	1.0833864212036133
14	18.35884737968445	response	0	j		12.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1176_fw.png	80.42239141464233	
15	18.375073432922363	picture	0		109	13.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1100_fw.png	80.43861746788025	0.9089343547821045
15	19.275322198867798	response	0	j		13.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1100_fw.png	81.33886623382568	
16	19.284007787704468	picture	0		178	14.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1163_fw.png	81.34755182266235	1.491075038909912
16	20.758636236190796	response	0	k		14.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1163_fw.png	82.82218027114868	
17	20.77508282661438	picture	0		94	15.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0968_fw.png	82.83862686157227	0.7916598320007324
17	21.55030846595764	response	0	k		15.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0968_fw.png	83.61385250091553	
18	21.566742658615112	picture	0		156	16.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0186_fw.png	83.630286693573	1.3006374835968018
18	22.858601808547974	response	0	k		16.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0186_fw.png	84.92214584350586	
19	22.867380142211914	picture	0		160	17.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1947_fw.png	84.9309241771698	1.3332304954528809
19	24.192008018493652	response	0	k		17.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1947_fw.png	86.25555205345154	
20	24.200610637664795	picture	0		176	18.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1441_fw.png	86.26415467262268	1.4745523929595947
20	25.65927505493164	response	0	j		18.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1441_fw.png	87.72281908988953	
21	25.67516303062439	picture	0		81	19.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1957_fw.png	87.73870706558228	0.6783695220947266
21	26.342031002044678	response	0	k		19.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1957_fw.png	88.40557503700256	
22	26.353532552719116	picture	0		143	20.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0945_fw.png	88.417076587677	1.1966288089752197
22	27.533701419830322	response	0	k		20.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0945_fw.png	89.59724545478821	
23	27.550161361694336	picture	0		107	21.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0733_fw.png	89.61370539665222	0.9000041484832764
23	28.43367290496826	response	0	k		21.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0733_fw.png	90.49721693992615	
24	28.450165510177612	picture	0		129	22.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1285_fw.png	90.5137095451355	1.083360195159912
24	29.51710081100464	response	0	j		22.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1285_fw.png	91.58064484596252	
25	29.533525705337524	picture	0		89	23.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0664_fw.png	91.59706974029541	0.7500054836273193
25	30.267062425613403	response	0	j		23.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0664_fw.png	92.33060646057129	
26	30.283531188964844	picture	0		122	24.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1073_fw.png	92.34707522392273	1.0214519500732422
26	31.29208493232727	response	0	k		24.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1073_fw.png	93.35562896728516	
27	31.304983139038086	picture	0		141	25.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0370_fw.png	93.36852717399597	1.1736810207366943
27	32.46711492538452	response	0	k		25.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0370_fw.png	94.53065896034241	
28	32.47866415977478	picture	0		113	26.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0584_fw.png	94.54220819473267	0.946638822555542
28	33.40881395339966	response	0	j		26.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0584_fw.png	95.47235798835754	
29	33.42530298233032	picture	0		179	27.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1978_fw.png	95.48884701728821	1.497636079788208
29	34.90233302116394	response	0	j		27.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/1978_fw.png	96.96587705612183	
30	34.92293906211853	picture	0		93	28.0	/experiments/Knapen_AOT/AOT_stimuli/pictures/0493_fw.png	96.98648309707642	0.7856302261352539
