,0
/experiments/Knapen_AOT/AOT_stimuli/pictures/0525_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/0802_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/1043_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/0219_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/2153_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/0843_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/0576_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/1123_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/1349_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/1086_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/1620_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/1935_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/1176_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/1100_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/1163_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/0968_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/0186_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/1947_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/1441_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/1957_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/0945_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/0733_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/1285_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/0664_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/1073_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/0370_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/0584_fw.png,j
