,0
/experiments/Knapen_AOT/AOT_stimuli/pictures/1095_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/0419_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/0630_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/1701_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/1469_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/0772_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/0574_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/1950_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/1067_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/0954_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/0292_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/1832_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/0414_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/1959_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/1519_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/1397_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/2044_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/1100_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/0956_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/0406_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/1837_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/1465_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/0092_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/1570_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/1069_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/0063_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/0640_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/1346_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/0838_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/1144_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/1506_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/0701_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/1543_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/0500_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/1216_fw.png,k
/experiments/Knapen_AOT/AOT_stimuli/pictures/1005_fw.png,j
/experiments/Knapen_AOT/AOT_stimuli/pictures/0625_fw.png,k
