trial_nr	onset	event_type	phase	response	nr_frames	picture_index	picture_file	onset_abs	duration
0	0.039459874999010935	stim	0		43710			17.953051000004052	434.16056120800204
0	434.17306904100406	response	0	space				452.0866601660091	
2	434.20002108300105	picture	0		364	0.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-uSHBdUi8_V0_24.png	452.1136122080061	3.1150479999923846
2	437.2972007079952	response	0	j		0.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-uSHBdUi8_V0_24.png	455.21079183300026	
3	437.31506908299343	picture	0		189	1.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-WhQMF3WM0Ig_29.png	455.2286602079985	1.680991958011873
3	438.9823344579927	response	0	j		1.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-WhQMF3WM0Ig_29.png	456.89592558299773	
4	438.9960610410053	picture	0		237	2.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_ILnEDG_aP1A_35.png	456.90965216601035	2.023686166998232
4	441.0044254579989	response	0	j		2.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_ILnEDG_aP1A_35.png	458.9180165830039	
5	441.01974720800354	picture	0		122	3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_b5-3.png	458.9333383330086	1.0517039580008714
5	442.05705124999804	response	0	j		3.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_b5-3.png	459.9706423750031	
6	442.0714511660044	picture	0		114	4.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_production_ID_3944248.png	459.98504229100945	1.0054835839982843
6	443.06209291599225	response	0	j		4.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_production_ID_3944248.png	460.9756840409973	
7	443.0769347500027	picture	0		453	5.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n01630670_121.JPEG	460.99052587500773	3.8198154580022674
7	446.88170929100306	response	0	k		5.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n01630670_121.JPEG	464.7953004160081	
8	446.89675020800496	picture	0		117	6.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_pexels-laker-5793000.png	464.81034133301	1.047409124992555
8	447.9309433330054	response	0	j		6.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_pexels-laker-5793000.png	465.84453445801046	
9	447.9441593329975	picture	0		142	7.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_ILSVRC2015_train_00369000.png	465.85775045800256	1.2371564170025522
9	449.16768083299394	response	0	j		7.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_ILSVRC2015_train_00369000.png	467.081271957999	
10	449.18131575000007	picture	0		119	8.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_ILSVRC2015_train_00415001.png	467.0949068750051	1.042857416003244
10	450.2095147499931	response	0	j		8.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_ILSVRC2015_train_00415001.png	468.12310587499815	
11	450.2241731660033	picture	0		131	9.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n04613696_11624.JPEG	468.13776429100835	1.1255769999988843
11	451.33475241600536	response	0	k		9.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n04613696_11624.JPEG	469.2483435410104	
12	451.3497501660022	picture	0		165	10.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n02859443_21872.JPEG	469.26334129100724	1.408066374991904
12	452.7426718749921	response	0	k		10.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n02859443_21872.JPEG	470.6562629999971	
13	452.7578165409941	picture	0		185	11.0	/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n07714990_3116.JPEG	470.67140766599914	1.5841528750024736
