,0
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n02090379_3314.JPEG,k
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/ILSVRC2012_test_00038372.JPEG,k
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-loe3Rqs8TEM_46.png,k
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-3NMDWrZr1Z4_255.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n01739381_1084.JPEG,k
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_yt-mL3MuCfKtdY_79.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_ILSVRC2015_train_00599000.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n04141327_4178.JPEG,k
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-FMIevUic_XY_50.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_yt-mQRzWCcKOR8_28.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n03792782_20071.JPEG,k
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_pexels-cottonbro-9063801_1.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n03930313_7086.JPEG,k
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n02165105_5484.JPEG,k
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/n01675722_808.JPEG,k
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_9smWynsk6sI_158.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/R_S_pexels-c-technical-6491262.png,j
/Users/shufanzhang/Documents/PhD/Arrow_of_time/arrow_of_time/pictures/S_ioSkDvwpEaU_35.png,j
