trial_nr	onset	event_type	phase	response	nr_frames	movie_index	movie_duration	movie_file	blank	onset_abs	duration
0	0.41122995800003537	stim	0		1827					16.31444358300007	15.394740749999983
0	15.782570917000044	response	0	space						31.68578454200008	
1	15.805970708000018	stim	0		152					31.709184333000053	1.259339667000063
1	17.048236667000083	pulse	0	t						32.95145029200012	
1	17.06531037500008	stim	1		1716					32.968524000000116	14.312331041999983
1	20.94099462500003	pulse	1	t						36.844208250000065	
1	21.103840417000015	pulse	1	t						37.00705404200005	
1	21.281200000000013	pulse	1	t						37.18441362500005	
1	21.436935542000015	pulse	1	t						37.34014916700005	
1	21.591047042000014	pulse	1	t						37.49426066700005	
1	21.74128575000009	pulse	1	t						37.64449937500012	
1	21.744079917000022	response	1	y						37.64729354200006	
1	21.898815125000056	pulse	1	t						37.80202875000009	
1	22.068754291999994	pulse	1	t						37.97196791700003	
1	22.215477625000062	pulse	1	t						38.1186912500001	
2	31.377641417000063	fix_pre	0		190	0.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/0256_fw.mp4	0.0	47.2808550420001	1.6089060409999547
2	32.95546654200007	pulse	0	t		0.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/0256_fw.mp4	0.0	48.8586801670001	
2	32.98654745800002	movie	1		299	0.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/0256_fw.mp4	0.0	48.88976108300005	2.4808495839999978
2	33.128169583000044	pulse	1	t		0.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/0256_fw.mp4	0.0	49.03138320800008	
2	35.467397042000016	fix_post	2		12	0.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/0256_fw.mp4	0.0	51.37061066700005	0.1018458329999703
3	35.569242874999986	fix_pre	0		120	1.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/1670_fw.mp4	0.0	51.47245650000002	0.9992365000000518
3	36.56847937500004	movie	1		301	1.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/1670_fw.mp4	0.0	52.47169300000007	2.505199583000035
3	39.07367895800007	fix_post	2		12	1.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/1670_fw.mp4	0.0	54.97689258300011	0.10379783399991993
4	39.17747679199999	fix_pre	0		120	2.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/1964_fw.mp4	0.0	55.08069041700003	1.0000939160000826
4	40.177570708000076	movie	1		300	2.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/1964_fw.mp4	0.0	56.08078433300011	2.496035041999903
4	42.67360574999998	fix_post	2		12	2.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/1964_fw.mp4	0.0	58.576819375000014	0.10262125000008382
5	42.77622700000006	fix_pre	0		119	3.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/1327_fw.mp4	0.0	58.6794406250001	0.9961368329999232
5	43.772363832999986	movie	1		300	3.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/1327_fw.mp4	0.0	59.67557745800002	2.503952292000008
5	46.276316124999994	fix_post	2		11	3.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/1327_fw.mp4	0.0	62.17952975000003	0.09203833300000497
6	46.368354458	fix_pre	0		202	4.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/1379_fw.mp4	0.0	62.271568083000034	1.6920090419999951
6	48.04988141700005	pulse	0	t		4.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/1379_fw.mp4	0.0	63.953095042000086	
6	48.060363499999994	movie	1		301	4.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/1379_fw.mp4	0.0	63.96357712500003	2.49807983300002
6	50.558443333000014	fix_post	2		12	4.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/1379_fw.mp4	0.0	66.46165695800005	0.1040197500000204
7	50.662463083000034	fix_pre	0		120	5.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/0700_fw.mp4	0.0	66.56567670800007	0.9967357919999813
7	51.36325883300003	pulse	0	t		5.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/0700_fw.mp4	0.0	67.26647245800007	
7	51.659198875000016	movie	1		301	5.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/0700_fw.mp4	0.0	67.56241250000005	2.508435208000037
7	54.16763408300005	fix_post	2		11	5.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/0700_fw.mp4	0.0	70.07084770800009	0.08950120899999092
8	54.257135292000044	fix_pre	0		121	6.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/1887_fw.mp4	0.0	70.16034891700008	1.0192529580000382
8	55.27638825000008	movie	1		300	6.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/1887_fw.mp4	0.0	71.17960187500012	2.492682500000001
8	57.76907075000008	fix_post	2		11	6.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/1887_fw.mp4	0.0	73.67228437500012	0.08874874999992244
9	57.857819500000005	fix_pre	0		119	7.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/1839_fw.mp4	0.0	73.76103312500004	1.0027948330000527
9	58.86061433300006	movie	1		300	7.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/1839_fw.mp4	0.0	74.76382795800009	2.5050701249999747
9	61.36568445800003	fix_post	2		12	7.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/1839_fw.mp4	0.0	77.26889808300007	0.10357612500001778
10	61.46926058300005	fix_pre	0		86	8.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/0193_fw.mp4	0.0	77.37247420800009	0.7175255419999758
10	62.177250833000016	pulse	0	t		8.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/0193_fw.mp4	0.0	78.08046445800005	
10	62.186786125000026	movie	1		301	8.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/0193_fw.mp4	0.0	78.08999975000006	2.50707920800005
10	64.69386533300008	fix_post	2		12	8.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/0193_fw.mp4	0.0	80.59707895800011	0.10482362499999454
11	64.79868895800007	fix_pre	0		120	9.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/0215_fw.mp4	0.0	80.7019025830001	0.9980254999999261
11	65.796714458	movie	1		300	9.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/0215_fw.mp4	0.0	81.69992808300003	2.496509875000015
11	68.29322433300001	fix_post	2		11	9.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/0215_fw.mp4	0.0	84.19643795800005	0.0918187920000264
12	68.38504312500004	fix_pre	0		121	10.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/0708_fw.mp4	0.0	84.28825675000007	1.0062568329999522
12	69.39129995799999	movie	1		300	10.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/0708_fw.mp4	0.0	85.29451358300003	2.504607667000073
12	71.89590762500006	fix_post	2		11	10.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/0708_fw.mp4	0.0	87.7991212500001	0.08858258299994759
13	71.98449020800001	fix_pre	0		120	11.0	2.5	/Users/shufanzhang/AOT_stimuli/rescaled_final/0680_fw.mp4	0.0	87.88770383300005	1.0041900420000047
