trial_nr	onset	event_type	phase	response	nr_frames	picture_index	picture_file	onset_abs	duration
0	0.011345250066369772	stim	0		436			3.54064437514171	3.745143000036478
0	3.74192495807074	response	0	space				7.27122408314608	
2	3.756488250102848	picture	0		1713	0.0	/Users/shufanzhang/AOT_stimuli/pictures/0372_fw.png	7.285787375178188	14.347751541994512
2	14.047456874977797	response	0	space		0.0	/Users/shufanzhang/AOT_stimuli/pictures/0372_fw.png	17.576756000053138	
2	14.625478707952425	response	0	space		0.0	/Users/shufanzhang/AOT_stimuli/pictures/0372_fw.png	18.154777833027765	
2	15.534957041963935	response	0	space		0.0	/Users/shufanzhang/AOT_stimuli/pictures/0372_fw.png	19.064256167039275	
2	18.090812750160694	response	0	j		0.0	/Users/shufanzhang/AOT_stimuli/pictures/0372_fw.png	21.620111875236034	
3	18.10423979209736	picture	0		83	1.0	/Users/shufanzhang/AOT_stimuli/pictures/0146_fw.png	21.6335389171727	0.7009358750656247
3	18.792631458025426	response	0	j		1.0	/Users/shufanzhang/AOT_stimuli/pictures/0146_fw.png	22.321930583100766	
4	18.805175667162985	picture	0		53	2.0	/Users/shufanzhang/AOT_stimuli/pictures/1067_fw.png	22.334474792238325	0.44904366601258516
4	19.247285332996398	response	0	j		2.0	/Users/shufanzhang/AOT_stimuli/pictures/1067_fw.png	22.77658445807174	
5	19.25421933317557	picture	0		40	3.0	/Users/shufanzhang/AOT_stimuli/pictures/0641_fw.png	22.78351845825091	0.3606161249335855
5	19.60622841701843	response	0	j		3.0	/Users/shufanzhang/AOT_stimuli/pictures/0641_fw.png	23.13552754209377	
6	19.614835458109155	picture	0		38	4.0	/Users/shufanzhang/AOT_stimuli/pictures/0406_fw.png	23.144134583184496	0.340468917042017
6	19.94318029214628	response	0	j		4.0	/Users/shufanzhang/AOT_stimuli/pictures/0406_fw.png	23.47247941722162	
7	19.955304375151172	stim	0		103			23.484603500226513	0.8762742918916047
7	20.500152708031237	response	0	j				24.029451833106577	
7	20.823394125094637	response	0	space				24.352693250169978	
