,0
/Users/knapen/Movies/aot_movie_stimuli/S_yt-u0N1IsXxLM4_103.mp4,k
/Users/knapen/Movies/aot_movie_stimuli/S_yt-aeubh6vwbow_12.mp4,l
/Users/knapen/Movies/aot_movie_stimuli/S_yt-F3B1i_Yt8_o_20.mp4,k
/Users/knapen/Movies/aot_movie_stimuli/S_yt-VbKGc8N_29.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_pexels-anthony-shkraba-7569650.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_pexels-ron-lach-8071987.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_ILSVRC2015_train_00451000.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-ZwnliF0525U_95.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-uDDv9fXG64w_98.mp4,k
/Users/knapen/Movies/aot_movie_stimuli/S_yt-CEQnXB0LxQU_278.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-GK83AyP3XXc_704.mp4,k
/Users/knapen/Movies/aot_movie_stimuli/S_ILSVRC2015_train_00405000.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-VMUSo8E_Fj8_171.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-hMyqUMAbFAk_303.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-W4Shvmb1JYs_258.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-EFrazkRaYbs_21.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-SGIqAi-zDpM_19.mp4,l
/Users/knapen/Movies/aot_movie_stimuli/S_yt-2V2tq9-O_Nc_1669.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-zgkJCgcT1s4_300.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-JXmyvkbRYk4_5.mp4,k
/Users/knapen/Movies/aot_movie_stimuli/S_yt-hjqjWlzPRjY_76.mp4,k
/Users/knapen/Movies/aot_movie_stimuli/S_yt-GWOOQZ19-oU_331.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_wc-eJe3wXMgTLRV_20.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_production_ID_4820325.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_1y-EvnfGO9Y_70.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-Uv0dt_-fWJU_40.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-ZynGxEtFNdk_243.mp4,l
/Users/knapen/Movies/aot_movie_stimuli/S_ILnEDG_aP1A_35.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-UZ-k4A-eD20_124.mp4,l
/Users/knapen/Movies/aot_movie_stimuli/S_AwPBuHsoXV0_25.mp4,l
/Users/knapen/Movies/aot_movie_stimuli/S_yt-NVYfkMFUxMk_466.mp4,k
/Users/knapen/Movies/aot_movie_stimuli/S_yt-STL3ejY9u_Q_73.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_ILSVRC2015_train_00416000.mp4,k
/Users/knapen/Movies/aot_movie_stimuli/S_yt-Kwfwhd07dVo_2.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_production_ID_5020960.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-o0Hbe7kcPps_70.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_ILSVRC2015_train_00572000.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-QqSceHxY3d0_356.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_ILSVRC2015_train_00292006.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_59eT4XDXNno_25.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-NFb0SUCeiro_158.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-8gaLZxx-q50_142.mp4,l
/Users/knapen/Movies/aot_movie_stimuli/S_yt-bQRBtP9zkms_111.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-jUGt_Byqczw_599.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-7Ya-rGPO8cM_159.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-patyDyMQU8M_4.mp4,k
/Users/knapen/Movies/aot_movie_stimuli/S_yt-1VTxnf2hZ0w_675.mp4,k
/Users/knapen/Movies/aot_movie_stimuli/S_yt-8y7Xhp2_2e0_168.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-Mjm5smrurQI_125.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-ZzC953ahaxs_195.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-H-2Vvouw9VI_85.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-4r-oovk9JWg_85.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-fIEGqReekCM_10.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-4RKOPaRF42o_124.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-jeVeQBuzbEQ_120.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-JQOHHL30Y54_101.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-i3-YlGenYmk_411.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-IXMtF998XFY_547.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-MEfljVFL0xw_375.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-7K5X1G7Cpls_965.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_ILSVRC2015_train_00569006.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-VyVvEvP6MRM_124.mp4,k
/Users/knapen/Movies/aot_movie_stimuli/S_yt-i4kSCZ8rNC0_11.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-ZmoUDsP2y40_8.mp4,k
/Users/knapen/Movies/aot_movie_stimuli/S_yt-tOOaOzYvtKE_79.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_pexels-c-technical-6753390_2.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-Fci3dBzt2T4_223.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_wc-Mf8SQpviaD6D_17.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-IC62JSYpq9w_71.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-mdxs8FCKLFc_232.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_ahJft-G235A_122.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-n6aLw10f2Yw_317.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-Hs5HF3mTQ7A_9.mp4,k
/Users/knapen/Movies/aot_movie_stimuli/S_yt-ybH6uAiFbjc_273.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-9NV8zv2Sdq4_30.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-hTkrnNr39dk_202.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-lCb_efvJcdE_5.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_-IkGMlLHrOI_108.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-vY49oIv_dWg_73.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-kiEFK7bDssE_14.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_ILSVRC2015_train_00354000.mp4,l
/Users/knapen/Movies/aot_movie_stimuli/S_yt-npaE4fe6A6Y_26.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-2OoHcgS8sss_7.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-xSGPe0KemD4_384.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-LdHRVIb4nIE_6.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-b7bIulV49DQ_81.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-SGTgMItFkxY_172.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_ILSVRC2015_train_00185002.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-gMqeZkpA_1Q_61.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-r5kRl-2lVxc_2.mp4,k
/Users/knapen/Movies/aot_movie_stimuli/S_yt-YyKEeu2gLrI_158.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-PQYnj2BR17I_16.mp4,k
/Users/knapen/Movies/aot_movie_stimuli/S_yt-OrTpetjDNKs_31.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-mJzkLd3Mr_c_35.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_ILSVRC2015_train_00682000.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-tMP5WhHMtWE_55.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-JizcV7kYuqM_132.mp4,k
/Users/knapen/Movies/aot_movie_stimuli/S_ILSVRC2015_train_00373001.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-2pRKCSgdXXU_30.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-eVAlSjH8E8k_127.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-BqJHT4K7Qf8_127.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_ILSVRC2015_train_00322000.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_ILSVRC2015_train_00323000.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_ILSVRC2015_train_00425000.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-LGwEki4ghNw_69.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_ILSVRC2015_train_00697001.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_Pexels_Videos_2786546.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-vDjj0EWFdIU_49.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-yPtwbpByPds_33.mp4,l
/Users/knapen/Movies/aot_movie_stimuli/S_yt-yJmHtBFyhH4_15.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-0qWYjx341mc_7.mp4,k
/Users/knapen/Movies/aot_movie_stimuli/S_yt-BCFGCganiuE_8.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-OdTWn1U1mO4_68.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-4NjyKFnwHBo_13.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_ILSVRC2015_train_00565000.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-KQq7vTlXUiQ_173.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-FoO02U39gy4_398.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-rY_ra5Tb9XU_51.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-fqbi4rGc9dk_65.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-Snha8C5YOiY_70.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_ILSVRC2015_train_00524006.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-lazG9z4VQAw_99.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_video-10.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_ILSVRC2015_train_00743005.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_WCwb-DeQOSg_85.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-k-MRlbCOzZU_163.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-HwEfWfFJhRo_73.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt--Ra34zJ69AU_68.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_pexels-kindel-media-8164443.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-2cwARrUMj40_67.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-7v3kHYBe7-E_8.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_OdxWh1oU8e8_1.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-WTxvvlP8xnw_113.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-ZYrQIw9VUok_111.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_yt-074ygGXNoQ8_64.mp4,j
/Users/knapen/Movies/aot_movie_stimuli/S_Roller_Coaster_1.mp4,l
/Users/knapen/Movies/aot_movie_stimuli/S_yt-cAFx29wS_xo_130.mp4,k
