video_name	category_name	group_name
yt-WQNX2yWLT2I_366.mp4	breaking	group5
yt-Q4edV5qiqu0_578.mp4	breaking	group1
bing-www_break_com_video_like-a-cat-catching-a-fly-3131008_12.mp4	breaking	group2
yt-IX6uxR5DSKk_2.mp4	breaking	group3
yt-Fdv-V--QlR0_117.mp4	breaking	group4
yt-LUIvP_NDWAs_45.mp4	breaking	group5
yt-l_ioasf6yHg_44.mp4	breaking	group1
yt-xKteiAi5h7Q_36.mp4	breaking	group2
yt-E8EDQCPbBeI_196.mp4	breaking	group3
yt-GbL63AmOIss_116.mp4	breaking	group4
yt-7W50lcw5FCo_37.mp4	breaking	group5
yt-5rC42egLl5E_387.mp4	breaking	group1
Xq0a2BWE3zA_53.mp4	breaking	group2
yt-kRR0CluqaX4_130.mp4	breaking	group3
yt-8LO59eN9om4_16.mp4	frowning	group3
yt-McqS-QObQbk_122.mp4	frowning	group4
yt-e_eOzV7qMZo_374.mp4	frowning	group5
yt-NqZHX-eOVUA_35.mp4	frowning	group1
yt--s2mcDTgwkc_65.mp4	frowning	group2
yt-xlHdGsXVZFU_83.mp4	licking	group4
yt-tEzCpMrjOHs_24.mp4	licking	group5
yt-Xq6uX1jfFRk_21.mp4	licking	group1
yt-eF5J5Kjt6oY_23.mp4	licking	group2
yt-vQ-rd-1gwH4_238.mp4	licking	group3
yt-o0YqkYEeszM_7.mp4	pushing	group3
yt-uXDyvrm0Tw0_17.mp4	pushing	group4
yt-lzXao6Reec4_14.mp4	pushing	group5
yt-RL1chIcbTPQ_11.mp4	pushing	group1
yt-MTo50ReVNmU_2.mp4	pushing	group2
yt-OFbbvxTLrtM_132.mp4	pushing	group3
yt-rY_ra5Tb9XU_51.mp4	reading	group5
yt-Jro_TRE8NUQ_234.mp4	reading	group1
yt-KVB49z48sZU_55.mp4	reading	group2
wc-dwTccI0TNwps_15.mp4	reading	group3
yt-a5TGHnldsKg_102.mp4	reading	group4
yt-LYStNoRhVO8_846.mp4	reading	group5
yt-KNdCiW8m1uY_168.mp4	tattooing	group3
yt-RKo978aBdzw_173.mp4	tattooing	group4
m-aeoYPMqfg_185.mp4	shouting	group5
AwPBuHsoXV0_25.mp4	shouting	group1
Oo8otu7cQ20_112.mp4	shouting	group2
hkunxDEshL4_95.mp4	shouting	group3
yt-738MRS0yI6g_177.mp4	sniffing	group2
yt-qX2KH8RLnKs_50.mp4	sniffing	group3
yt-hmtcRLNoYZc_17.mp4	sniffing	group4
yt-ayx4rU9bJrU_179.mp4	sniffing	group5
yt-Ul81y6R9YbE_12.mp4	photographing	group1
yt-XRQ_LSGGr3Y_712.mp4	photographing	group2
yt-316ecr1BT84_44.mp4	photographing	group3
yt-MEfljVFL0xw_375.mp4	photographing	group4
yt-22c5eZ1UNME_76.mp4	packaging	group5
yt-_F8eDDKtvJ0_82.mp4	packaging	group1
yt-XtzmBXKYEWk_60.mp4	packaging	group2
yt-4ouMuGUuPHI_193.mp4	packaging	group3
yt-GWOOQZ19-oU_331.mp4	packaging	group4
yt-5hgLXyLw82w_23.mp4	juggling	group2
yt-QJ2k6vA8aco_12.mp4	juggling	group3
yt-K_gHa2x2OQA_319.mp4	juggling	group4
yt-GBt59U0KUR0_6.mp4	juggling	group5
yt-SPbEzYcZKIc_13.mp4	juggling	group1
yt-1H8sfkZGZK8_3.mp4	juggling	group2
yt-PK-Eip9wFr0_24.mp4	splashing	group5
yt-TvU-aYjNa2c_21.mp4	splashing	group1
yt-PyO8-WsbaLU_43.mp4	splashing	group2
yt-oypn4VCTu6U_279.mp4	splashing	group3
yt-3HpAmr5BApU_35.mp4	running	group4
yt-kbf7N5K5cS0_35.mp4	running	group5
yt-8RmEimCI80g_35.mp4	running	group1
yt-0bovQBIUZho_15.mp4	running	group2
yt-0Sph9-EZQRA_35.mp4	running	group3
yt-bOgChEHiroI_20.mp4	leaking	group5
yt-cvwUZbYSd4Q_35.mp4	leaking	group1
flickr-53807584@N00-5565833509_7.mp4	leaking	group2
yt-WASlRH1zA8c_175.mp4	leaking	group3
yt-uDDv9fXG64w_98.mp4	folding	group3
yt-PcOWc5EJbVo_39.mp4	folding	group4
yt-Jcmf9XyBdMk_119.mp4	folding	group5
yt-2dRSJcaJIXw_32.mp4	folding	group1
yt-RVoC19C420Y_27.mp4	folding	group2
yt-OPzchvF7jO8_53.mp4	studying	group5
yt-6DJulOrg2-8_122.mp4	studying	group1
yt-t-wpKypNysg_27.mp4	studying	group2
yt-DmlSN7mzczI_62.mp4	studying	group3
yt-gOoDjhfSPj0_162.mp4	surfing	group1
yt-2mjHDSH1Yvg_90.mp4	surfing	group2
yt-TBY8F6UMnJQ_51.mp4	surfing	group3
yt-M_ApPnq00iE_67.mp4	surfing	group4
yt-gikcYT6ZLzA_7.mp4	spitting	group3
yt-1uk2k3PnTNw_12.mp4	spitting	group4
yt-1uk2k3PnTNw_37.0.mp4	spitting	group5
yt-35i8UeYXjGw_47.mp4	spitting	group1
yt-MMsrBb7W-dk_25.mp4	raining	group5
wc-0SAXOWjdNVGC_8.mp4	raining	group1
wc-ZGCMbPfXQ71L_31.mp4	raining	group2
wc-_W9iefBXz8bi_23.mp4	raining	group3
yt-XbigWWtnGL4_75.mp4	pouring	group2
yt-pOCEuqVE7ro_61.mp4	pouring	group3
yt-2lnxIdOTxog_157.mp4	pouring	group4
yt-hHdxZ26SImA_17.mp4	pouring	group5
yt-QD74nNliDvI_10.mp4	pouring	group1
yt-_WFwhcmbXXY_51.mp4	skating	group4
goAwcQiFu1Q_99.mp4	skating	group5
-CyI3hUfiOY_23.mp4	skating	group1
ahUa35lQM6E_44.mp4	skating	group2
yt-LKd9mHnUVUQ_230.mp4	skating	group3
yt-NqyG4Ar2JWo_10.mp4	skating	group4
yt-n1snPiGfg0A_45.mp4	skating	group5
yt-hjqjWlzPRjY_76.mp4	skating	group1
yt-IlW1U39Dga4_5.mp4	extinguishing	group1
yt-osz-TXlRdXs_2.mp4	extinguishing	group2
yt-LYnwnfi1JJ4_120.mp4	extinguishing	group3
yt-pKl8nduxfTI_798.mp4	extinguishing	group4
